Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating,Visibility Category
Regular,FDV20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06,20.2,128.37,4.5,High Visibility
Regular,FDV57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,15.25,179.77,4.5,Low Visibility
Low Fat,FDP11,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.069,10.6,216.92,4.5,High Visibility
Low Fat,FDR23,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.081,10.6,177.84,4.5,High Visibility
Low Fat,FDB27,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.055,13.35,196.78,4.5,High Visibility
Low Fat,FDK51,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.005,13.35,265.29,4.5,Low Visibility
Low Fat,FDK28,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.065,12.85,256.16,4.5,High Visibility
Low Fat,FDK52,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.85,225.31,4.5,Low Visibility
Low Fat,FDU52,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.063,12.85,157.56,4.5,High Visibility
Low Fat,NCK05,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.077,12.15,61.55,4.5,High Visibility
Low Fat,NCA06,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.143,13.15,35.92,4.5,High Visibility
Low Fat,NCE06,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.091,13.15,162.69,4.5,High Visibility
Low Fat,NCG07,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.052,13.15,190.85,4.5,Low Visibility
Low Fat,NCH54,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.072,13.15,160.79,4.5,High Visibility
Low Fat,NCT18,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.059,13.15,181.6,4.5,High Visibility
Low Fat,NCZ06,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.094,13.15,253.87,4.5,High Visibility
Low Fat,NCL07,Others,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.031,14.5,39.55,4.5,Low Visibility
Regular,FDF24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.025,11.65,81.99,4.5,Low Visibility
Regular,FDF26,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.046,12.15,153.3,4.5,Low Visibility
Regular,FDR40,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.008,12.85,78.56,4.5,Low Visibility
Regular,FDW16,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.041,12.85,91.68,4.5,Low Visibility
Regular,FDY04,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.042,12.85,162.52,4.5,Low Visibility
Regular,FDO31,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.029,13.1,81.5,4.5,Low Visibility
Regular,FDF34,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.014,13.15,199.91,4.5,Low Visibility
Regular,DRC36,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.045,11.8,173.71,4.5,Low Visibility
Low Fat,FDW24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.037,11.65,50.0,4.5,Low Visibility
Low Fat,FDQ23,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.024,10.6,102.33,4.5,Low Visibility
Low Fat,NCS05,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.021,12.15,133.79,4.5,Low Visibility
Regular,FDT26,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.068,13.35,120.94,4.5,High Visibility
Low Fat,NCD19,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.0,8.93,53.86,4.4,Low Visibility
Low Fat,FDB34,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.026,13.15,87.62,4.4,Low Visibility
Low Fat,DRK35,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.072,8.365,38.05,4.4,High Visibility
Regular,FDB56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.075,8.75,187.46,4.4,High Visibility
Low Fat,FDP09,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034,19.75,212.09,4.4,Low Visibility
Low Fat,FDG02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.011,7.855,188.52,4.4,Low Visibility
Regular,FDM15,Meat,2000,OUT013,Tier 3,High,Supermarket Type1,0.057,11.8,151.44,4.4,High Visibility
Regular,FDO08,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.094,13.1,165.75,4.4,High Visibility
Low Fat,FDT43,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.021,16.35,50.13,4.4,Low Visibility
Low Fat,FDI24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.078,11.65,177.94,4.4,High Visibility
Regular,FDS46,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.083,13.15,118.78,4.4,High Visibility
Regular,FDG28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05,9.285,246.41,4.4,Low Visibility
Low Fat,FDG24,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.015,7.975,85.22,4.4,Low Visibility
Low Fat,FDQ56,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.106,6.59,85.69,4.4,High Visibility
Low Fat,FDX23,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.03,6.445,92.64,4.4,Low Visibility
Regular,FDR44,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.103,6.11,130.5,4.4,High Visibility
Regular,FDU01,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.012,20.25,184.59,4.4,Low Visibility
Regular,FDP59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.057,20.85,105.66,4.4,High Visibility
Low Fat,NCV17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016,18.85,129.26,4.4,Low Visibility
Low Fat,FDZ15,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021,13.1,117.38,4.4,Low Visibility
Low Fat,FDA36,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.006,5.985,184.89,4.4,Low Visibility
Low Fat,FDV51,Meat,2011,OUT010,Tier 3,Small,Grocery Store,0.054,16.35,163.88,4.4,Low Visibility
Low Fat,NCT41,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.098,12.15,151.3,4.4,High Visibility
Low Fat,NCK54,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0,12.15,117.82,4.4,Low Visibility
Low Fat,FDE16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026,8.895,209.0,4.4,Low Visibility
Low Fat,FDE53,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.027,12.85,106.93,4.4,Low Visibility
Low Fat,NCL19,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.016,15.35,145.05,4.4,Low Visibility
Regular,FDT32,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.065,13.1,189.92,4.4,High Visibility
Low Fat,FDC46,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.116,13.15,183.43,4.4,High Visibility
Low Fat,FDS10,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.035,13.15,182.03,4.4,Low Visibility
Low Fat,FDC04,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.045,13.35,241.89,4.4,Low Visibility
Low Fat,NCJ30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.081,5.82,171.38,4.4,High Visibility
Regular,FDQ15,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.15,12.35,83.13,4.4,High Visibility
Regular,FDV01,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.15,154.63,4.4,Low Visibility
Regular,FDJ57,Seafood,2017,OUT035,Tier 2,Small,Supermarket Type1,0.022,7.42,184.86,4.4,Low Visibility
Low Fat,NCE31,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.185,7.67,33.12,4.4,High Visibility
Low Fat,FDV07,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0,9.5,110.42,4.4,Low Visibility
Low Fat,FDD04,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09,16.0,143.22,4.4,High Visibility
Low Fat,NCC18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.178,19.1,172.44,4.4,High Visibility
Low Fat,NCL31,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.12,7.39,145.15,4.4,High Visibility
Low Fat,FDA33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.034,6.48,148.21,4.4,Low Visibility
Low Fat,FDT59,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,13.65,229.47,4.4,Low Visibility
Low Fat,FDE26,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.089,9.3,144.98,4.4,High Visibility
Low Fat,FDB50,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.154,13.0,76.4,4.4,High Visibility
Low Fat,FDC17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015,12.15,211.99,4.4,Low Visibility
Low Fat,FDM44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031,12.5,103.9,4.4,Low Visibility
Low Fat,DRI11,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.034,8.26,113.38,4.4,Low Visibility
Low Fat,DRL47,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,19.7,125.94,4.4,Low Visibility
Low Fat,NCB30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026,14.6,197.11,4.4,Low Visibility
Low Fat,NCI18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014,18.35,222.77,4.4,Low Visibility
Low Fat,NCP06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039,20.7,150.74,4.4,Low Visibility
Low Fat,NCO02,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,11.15,65.01,4.4,Low Visibility
Low Fat,DRE37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.094,13.5,190.99,4.4,High Visibility
Low Fat,DRD24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031,13.85,143.12,4.4,Low Visibility
Low Fat,DRL37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053,15.5,43.68,4.4,Low Visibility
Regular,FDJ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039,8.895,208.83,4.4,Low Visibility
Regular,FDX11,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.107,16.0,183.56,4.4,High Visibility
Regular,FDJ60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.063,19.35,165.32,4.4,High Visibility
Regular,FDB37,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.023,20.25,240.35,4.4,Low Visibility
Regular,FDC51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,10.895,121.87,4.4,Low Visibility
Regular,FDY15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.171,18.25,155.66,4.4,High Visibility
Regular,FDV04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.15,7.825,155.23,4.4,High Visibility
Regular,FDB56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075,8.75,187.66,4.4,High Visibility
Regular,FDY20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.082,12.5,91.75,4.4,High Visibility
Regular,FDK32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.049,16.25,152.47,4.4,Low Visibility
Regular,FDP44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08,16.5,102.13,4.4,High Visibility
Regular,FDS32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,17.75,140.38,4.4,Low Visibility
Regular,FDG09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048,20.6,187.76,4.4,Low Visibility
Regular,FDW51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.095,6.155,213.36,4.4,High Visibility
Regular,FDK58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.045,11.35,102.6,4.4,Low Visibility
Regular,FDA09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.15,13.35,179.47,4.4,High Visibility
Regular,FDM58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,16.85,110.05,4.4,Low Visibility
Regular,DRM49,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,6.11,43.01,4.4,Low Visibility
Regular,DRA59,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.128,8.27,183.69,4.4,High Visibility
Regular,FDD47,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.143,7.6,172.34,4.4,High Visibility
Regular,FDC03,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.072,8.575,195.38,4.4,High Visibility
Regular,FDU31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025,10.5,218.45,4.4,Low Visibility
Low Fat,FDX24,Baking Goods,1998,OUT019,Tier 1,Small,Grocery Store,0.024,11.65,92.45,4.4,Low Visibility
Low Fat,DRG27,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.184,13.35,42.21,4.4,High Visibility
Low Fat,FDF16,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.151,12.85,149.01,4.4,High Visibility
Low Fat,FDH08,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.031,13.1,227.8,4.4,Low Visibility
Low Fat,FDR08,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.066,13.1,113.19,4.4,High Visibility
Low Fat,FDU07,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.105,13.1,150.44,4.4,High Visibility
Low Fat,FDU32,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.045,13.1,120.84,4.4,Low Visibility
Low Fat,NCT53,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.084,12.15,164.65,4.4,High Visibility
Low Fat,NCB19,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.158,13.15,86.39,4.4,High Visibility
Low Fat,FDK43,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.047,12.35,125.8,4.4,Low Visibility
Low Fat,NCL55,Others,1998,OUT019,Tier 1,Small,Grocery Store,0.113,14.5,254.6,4.4,High Visibility
Low Fat,FDK33,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.02,13.15,214.76,4.4,Low Visibility
Low Fat,FDX09,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.114,13.15,174.94,4.4,High Visibility
Low Fat,FDZ22,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.079,13.15,81.82,4.4,High Visibility
Regular,FDY38,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.209,13.35,231.83,4.4,High Visibility
Regular,FDE28,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.232,12.85,229.47,4.4,High Visibility
Regular,FDP40,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.06,12.85,110.15,4.4,High Visibility
Regular,FDY39,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.082,12.35,185.76,4.4,High Visibility
Regular,FDQ45,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.019,13.15,182.16,4.4,Low Visibility
Regular,FDE11,Starchy Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.237,13.175,184.19,4.4,High Visibility
Low Fat,FDD51,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.21,13.35,44.27,4.4,High Visibility
Low Fat,FDJ41,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.023,6.85,261.26,4.4,Low Visibility
Low Fat,FDP60,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0,17.35,102.9,4.4,Low Visibility
Low Fat,FDZ48,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.076,17.75,112.45,4.4,High Visibility
Low Fat,FDU59,Breads,2010,OUT046,Tier 1,Small,Supermarket Type1,0.096,5.78,163.56,4.4,High Visibility
Low Fat,FDC50,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.136,15.85,96.31,4.4,High Visibility
Low Fat,DRF03,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.045,19.1,42.51,4.4,Low Visibility
Low Fat,FDT28,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.064,13.3,151.37,4.4,High Visibility
Low Fat,DRN11,Hard Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.163,7.85,145.24,4.4,High Visibility
Low Fat,NCI29,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.033,8.6,143.22,4.4,Low Visibility
Low Fat,NCA53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.01,11.395,47.6,4.4,Low Visibility
Low Fat,NCT41,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.056,15.7,153.2,4.4,High Visibility
Low Fat,NCM53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.052,18.75,105.73,4.4,Low Visibility
Low Fat,NCM30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.067,19.1,41.98,4.4,High Visibility
Low Fat,NCN43,Others,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0,12.15,123.77,4.4,Low Visibility
Low Fat,NCP43,Others,2010,OUT046,Tier 1,Small,Supermarket Type1,0.031,17.75,180.37,4.4,Low Visibility
Low Fat,FDA33,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.034,6.48,146.91,4.4,Low Visibility
Low Fat,FDP57,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0,17.5,103.0,4.4,Low Visibility
Low Fat,FDE46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.016,18.6,152.14,4.4,Low Visibility
Low Fat,FDA22,Starchy Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.084,7.435,165.22,4.4,High Visibility
Regular,FDW40,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.105,14.0,144.28,4.4,High Visibility
Regular,FDH05,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.091,14.35,231.3,4.4,High Visibility
Regular,FDW16,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.041,17.35,93.08,4.4,Low Visibility
Regular,FDT07,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.077,5.82,255.43,4.4,High Visibility
Regular,FDC33,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.069,8.96,196.48,4.4,High Visibility
Regular,FDO39,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.137,6.985,184.96,4.4,High Visibility
Regular,FDI21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.057,5.59,63.22,4.4,High Visibility
Regular,FDW09,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.026,13.65,81.23,4.4,Low Visibility
Regular,FDN58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.057,13.8,231.2,4.4,High Visibility
Low Fat,FDA23,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.047,9.8,101.7,4.4,Low Visibility
Low Fat,FDR02,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.022,16.7,113.19,4.4,Low Visibility
Low Fat,FDT36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.112,12.3,35.69,4.4,High Visibility
Low Fat,FDQ12,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.035,12.65,231.4,4.4,Low Visibility
Low Fat,FDS23,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.141,4.635,127.1,4.4,High Visibility
Low Fat,FDS35,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.111,9.3,64.68,4.4,High Visibility
Low Fat,FDX59,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.052,10.195,34.56,4.4,Low Visibility
Low Fat,FDF14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.027,7.55,152.93,4.4,Low Visibility
Low Fat,FDU25,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.027,12.35,57.42,4.4,Low Visibility
Low Fat,FDT37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0,14.15,253.7,4.4,Low Visibility
Low Fat,FDX26,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.088,17.7,181.43,4.4,High Visibility
Low Fat,FDX16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.066,17.85,149.1,4.4,High Visibility
Low Fat,FDA56,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.009,9.21,119.84,4.4,Low Visibility
Low Fat,FDP07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09,18.2,197.21,4.4,High Visibility
Low Fat,NCD43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.016,8.85,106.8,4.4,Low Visibility
Low Fat,NCT06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.039,17.1,166.48,4.4,Low Visibility
Low Fat,NCI18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.014,18.35,224.07,4.4,Low Visibility
Low Fat,NCB43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.1,20.2,188.39,4.4,High Visibility
Low Fat,FDQ39,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.081,14.8,189.28,4.4,High Visibility
Low Fat,FDK45,Seafood,2015,OUT045,Tier 2,Small,Supermarket Type1,0.034,11.65,111.59,4.4,Low Visibility
Low Fat,FDK33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.011,17.85,211.66,4.4,Low Visibility
Low Fat,FDK48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.038,7.445,75.54,4.4,Low Visibility
Low Fat,FDH48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.061,13.5,85.15,4.4,High Visibility
Low Fat,FDZ38,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.008,17.6,173.74,4.4,Low Visibility
Low Fat,DRH39,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.093,20.7,74.67,4.4,High Visibility
Low Fat,FDK04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.053,7.36,56.36,4.4,Low Visibility
Low Fat,FDQ16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.042,19.7,108.69,4.4,Low Visibility
Low Fat,FDX20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.043,7.365,228.37,4.4,Low Visibility
Low Fat,FDC44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.174,15.6,114.45,4.4,High Visibility
Low Fat,DRK23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.072,8.395,251.5,4.4,High Visibility
Low Fat,DRO47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.113,10.195,114.49,4.4,High Visibility
Low Fat,DRJ23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.042,18.35,188.19,4.4,Low Visibility
Low Fat,NCL53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.036,7.5,175.3,4.4,Low Visibility
Low Fat,NCI17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.144,8.645,95.44,4.4,High Visibility
Low Fat,NCL29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.115,9.695,156.46,4.4,High Visibility
Low Fat,NCA53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01,11.395,47.2,4.4,Low Visibility
Low Fat,NCV41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.017,14.35,109.82,4.4,Low Visibility
Low Fat,NCP06,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.039,20.7,151.74,4.4,Low Visibility
Low Fat,FDP39,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.07,12.65,53.53,4.4,High Visibility
Low Fat,FDV51,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.033,16.35,165.78,4.4,Low Visibility
Low Fat,FDL10,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.04,8.395,100.1,4.4,Low Visibility
Regular,FDT12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.05,6.215,224.51,4.4,Low Visibility
Regular,FDD26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.072,8.71,185.69,4.4,High Visibility
Regular,FDN16,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.063,12.6,105.1,4.4,High Visibility
Regular,FDG56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.072,13.3,60.85,4.4,High Visibility
Regular,FDT55,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.044,13.6,157.79,4.4,Low Visibility
Regular,FDH20,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.025,16.1,97.84,4.4,Low Visibility
Regular,FDK32,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.049,16.25,154.27,4.4,Low Visibility
Regular,FDT09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.012,15.15,129.93,4.4,Low Visibility
Regular,FDA47,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.117,10.5,164.12,4.4,High Visibility
Regular,FDS11,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.056,7.05,222.11,4.4,High Visibility
Regular,FDL13,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,0.057,13.85,233.83,4.4,High Visibility
Regular,FDA04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.067,11.3,258.2,4.4,High Visibility
Regular,FDF21,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.059,10.3,191.55,4.4,High Visibility
Regular,FDR15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.034,9.3,156.13,4.4,Low Visibility
Regular,FDM51,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.026,11.8,99.87,4.4,Low Visibility
